ID,Question,Answer,Name,,,,,,,,,,,,,,,,,,,,,,
19,Sara attended a dog show from 8:30 A.M. to 3:45 P.M. How long was Sara at the dog show?,7 hours 15 minutes,ES.Math 19,,,,,,,,,,,,,,,,,,,,,,
20,"The highest point of Whiteface Mountain in New York is 4,867 feet. What is 4,867 rounded to the nearest thousand?",5000,ES.Math 20,,,,,,,,,,,,,,,,,,,,,,
21,Phillip’s mathematics teacher drew a triangle that had a 60 degee angle and a 20 degree angle. What is the measure of the third angle in the triangle?,100 degrees,ES.Math 21,,,,,,,,,,,,,,,,,,,,,,
22,Ms. Seebert used 60% of the gas in her car’s tank while driving over the weekend. Which number  represents how much of the gas she used? (a)0.6 (B)1/6 (C)0.06 (D)1/60,A,ES.Math 22,,,,,,,,,,,,,,,,,,,,,,
23,"Deena learned the population of her town is 5,342. What is 5,342 rounded to the nearest hundred?",5300,ES.Math 23,,,,,,,,,,,,,,,,,,,,,,
24,What is the greatest common factor (GCF) of 9 and 36 ?,9,ES.Math 24,,,,,,,,,,,,,,,,,,,,,,
25,"A history club goes on a field trip to a museum. If the price of a student ticket is $13.00, what is the total ticket cost for 24 students?",312,ES.Math 25,,,,,,,,,,,,,,,,,,,,,,
26,"The list below shows the weights, in pounds, of five different kangaroos. 65, 75, 80, 85, 85 What is the mean (average) weight, in pounds, of the kangaroos?",78,ES.Math 26,,,,,,,,,,,,,,,,,,,,,,
27,Julio is 4 feet 7 inches tall. How many inches tall is Julio?,55 inches,ES.Math 27,,,,,,,,,,,,,,,,,,,,,,
28,What is the least common multiple (LCM) of 8 and 10 ?,40,ES.Math 28,,,,,,,,,,,,,,,,,,,,,,
29,Mona swims a race in 28.872 seconds.  What is her race time rounded to tht nearest tenth of a second,28.9,ES.Math 29,,,,,,,,,,,,,,,,,,,,,,
30,A herd of cows gives 4 liters of milk each day. But each cow gives one-third of total milk each day. They give 24 liters milk in six days. How many cows are there in the herd?,3 cows,ES.Math 30,,,,,,,,,,,,,,,,,,,,,,
31,Multiple Choice Which of the following is closest in value to the number 10: W) 9.995 X) 10.01 Y) 9.99 Z) 10.05, ANSWER: W) 9.995,ES.Math 31,,,,,,,,,,,,,,,,,,,,,,
32,Convert 300 milliliters into liters:,ANSWER: 0.3,ES.Math 32,,,,,,,,,,,,,,,,,,,,,,
33,"Giving your answer to the second decimal place, add the following three numbers: 47 + 4.7 + 0.47 ",ANSWER: 52.17,ES.Math 33,,,,,,,,,,,,,,,,,,,,,,
34,"Giving your answer to the third decimal place, subtract the following two numbers: 18 – 2.049 ",ANSWER: 15.951,ES.Math 34,,,,,,,,,,,,,,,,,,,,,,
35,What is the total price of admission to the theater for 2 adults and 4 children if the ticket price for adults is $30.00 and for children is $18.00?, ANSWER: $132.00,ES.Math 35,,,,,,,,,,,,,,,,,,,,,,
36,Air is best described as a: W) compound X) mixture Y) solution Z) hydrocarbon ,ANSWER: X) MIXTURE,ES.Math 36,,,,,,,,,,,,,,,,,,,,,,
37,Which of the following is the most basic function of human eye lashes: W) to shade the eye from bright sun X) to prevent small particles from entering the eyes Y) to attract a mate Z) to help disperse tears when blinking, ANSWER: X) TO PREVENT SMALL PARTICLES FROM ENTERING THE EYES,ES.Math 37,,,,,,,,,,,,,,,,,,,,,,
38,Which one of the 4 states of matter is described as having a definite shape and volume?, ANSWER: SOLID,ES.Math 38,,,,,,,,,,,,,,,,,,,,,,
39,Which type of energy is needed to cut a piece of wood into smaller pieces with a saw? A light B heat C sound D mechanical,D,ES.Math 39,,,,,,,,,,,,,,,,,,,,,,
40,"When a rock is placed in a graduated cylinder containing water, the height of the water will A decrease B increase C remain the same",B,ES.Math 40,,,,,,,,,,,,,,,,,,,,,,
41,A student rubs her hands together on a cold winter day. The heat that warms her hands is produced by A friction B gravity C light D magnetism,A,ES.Math 41,,,,,,,,,,,,,,,,,,,,,,
42,Which property of a rubber band will stay the same when it is stretched? A shape B length C mass D width,C,ES.Math 42,,,,,,,,,,,,,,,,,,,,,,
43,Which part of a plant takes in water and nutrients from the soil?,A,ES.Math 43,,,,,,,,,,,,,,,,,,,,,,
44,Some birds fly south in the fall and return in the spring. This is an example of?,Migration,ES.Math 44,,,,,,,,,,,,,,,,,,,,,,
45,"If the population of snakes increases, the population of frogs will most
likely increase or decrease?",Decrease,ES.Math 45,,,,,,,,,,,,,,,,,,,,,,
46,A dog opens its mouth and lets its tongue hang out. A human’s body produces sweat. These are two ways that organisms may adjust to A cold temperatures B hot temperatures C a shortage of food D a shortage of drinking water,B - hot temp,ES.Math 46,,,,,,,,,,,,,,,,,,,,,,
47,During which season of the year would a rabbit’s fur be thickest?,Winter,ES.Math 47,,,,,,,,,,,,,,,,,,,,,,
48,"Which substance is usually found in nature as a liquid, solid, and gas?",Water,ES.Math 48,,,,,,,,,,,,,,,,,,,,,,
49,A student is growing some plants for an experiment. She notices small white spots on the leaves. Which tool should she use to get a better look at the spots?,Hand Lens/Magnifying Glass,ES.Math 49,,,,,,,,,,,,,,,,,,,,,,
50,A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by,Friction,ES.Math 50,,,,,,,,,,,,,,,,,,,,,,
51,What is the innnemost layer of Earth called?,Core,ES.ES 51,,,,,,,,,,,,,,,,,,,,,,
52,What is the thin outer layer of Earth called?,Crust,ES.ES 52,,,,,,,,,,,,,,,,,,,,,,
53,What phenomenom causes cracks in the Earth?,Earthquakes,ES.ES 53,,,,,,,,,,,,,,,,,,,,,,
54,What is the layer beneath the crust called?  It is to melt under a certain conditions.,Mantle,ES.ES 54,,,,,,,,,,,,,,,,,,,,,,
55,a map that shows the shapes of surface features and their elevations,topographic map,ES.ES 55,,,,,,,,,,,,,,,,,,,,,,
56,a crack in Earth's crust along which movement takes place,Fault,ES.ES 56,,,,,,,,,,,,,,,,,,,,,,
57,land formed over many years by the build up of sand and dirt just off shore of the mainland,Barrier Island,ES.ES 57,,,,,,,,,,,,,,,,,,,,,,
58,____________ between the Earth and moon keeps the moon in its orbit around the Earth.,Gravity,ES.ES 58,,,,,,,,,,,,,,,,,,,,,,
59,Because the Earth is tilted on its axis the Earth has ___________________.,seasons,ES.ES 59,,,,,,,,,,,,,,,,,,,,,,
60,"Because the Earth rotates, it causes ____________ and __________________.",day and night,ES.ES 60,,,,,,,,,,,,,,,,,,,,,,
61,It takes the Earth ____________ to make one full revolution around the sun.,365 1/4 days,ES.ES 61,,,,,,,,,,,,,,,,,,,,,,
62,One full rotation of the Earth takes _________________.,24 hours,ES.ES 62,,,,,,,,,,,,,,,,,,,,,,
63,The _____________ is in the center of our solar system.,sun,ES.ES 63,,,,,,,,,,,,,,,,,,,,,,
64,The Earth is tilted on its _______________.,axis,ES.ES 64,,,,,,,,,,,,,,,,,,,,,,
65,The Earth is tilted at a __________ angle.,23.5 degree,ES.ES 65,,,,,,,,,,,,,,,,,,,,,,
66,The Earth revolves around the _____________.,sun,ES.ES 66,,,,,,,,,,,,,,,,,,,,,,
67,The moon ___________ around the Earth.,revolves,ES.ES 67,,,,,,,,,,,,,,,,,,,,,,
68,The sun is a ___________.,star,ES.ES 68,,,,,,,,,,,,,,,,,,,,,,
69,The sun is a hot body of _________.,gas,ES.ES 69,,,,,,,,,,,,,,,,,,,,,,
70,The sun produces ________________ and ___________________.,heat and light energy,ES.ES 70,,,,,,,,,,,,,,,,,,,,,,
71,The  _____________ is Earth's nearest neighbor.,moon,ES.ES 71,,,,,,,,,,,,,,,,,,,,,,
72,To revolve means to __________________.,go around an object,ES.ES 72,,,,,,,,,,,,,,,,,,,,,,
73,To rotate means to _________________.,spin,ES.ES 73,,,,,,,,,,,,,,,,,,,,,,
74,A great way to reuse and recycle plants and food scraps is by making. . .,Compost,ES.ES 74,,,,,,,,,,,,,,,,,,,,,,
75,Coal is what kind of rock?,Sedimentary,ES.ES 75,,,,,,,,,,,,,,,,,,,,,,
76,What is the Continental Drift Theory?,This theory states that they continents used to be connected and that they eventually drifted apart.,ES.ES 76,,,,,,,,,,,,,,,,,,,,,,
77,What is the Coriolis effect?,the way the Earth's rotation affects wind and ocean currents,ES.ES 77,,,,,,,,,,,,,,,,,,,,,,
78,Diamond is a RENEWABLE OR NON-RENEWABLE resource?,Nonrenewable,ES.ES 78,,,,,,,,,,,,,,,,,,,,,,
79,Gasoline is a RENEWABLE OR NON-RENEWABLE resource?,Nonrenewable,ES.ES 79,,,,,,,,,,,,,,,,,,,,,,
80,Why are fossils only found in sedimentary rocks and not in the other two rock types?,"If animal or plant remains were trapped inside other rock types, they would be heated beyond recognitioin or put under too much pressure to be preserved.",ES.ES 80,,,,,,,,,,,,,,,,,,,,,,
81,This type of rock is formed as a result of cooling lava.,igneous,ES.ES 81,,,,,,,,,,,,,,,,,,,,,,
82,"Examples of this rock include granite, basalt, and obsidian.",igneous,ES.ES 82,,,,,,,,,,,,,,,,,,,,,,
83,igneous rock that cools and has large crystals.,intrusive,ES.ES 83,,,,,,,,,,,,,,,,,,,,,,
84,"Examples of this type of rock include marble, gneiss, and slate.",metamorphic,ES.ES 84,,,,,,,,,,,,,,,,,,,,,,
85,This type of rock is formed as a result of heat and pressure.,metamorphic,ES.ES 85,,,,,,,,,,,,,,,,,,,,,,
86,What is lava?,the magma that reaches the surface of the earth,ES.ES 86,,,,,,,,,,,,,,,,,,,,,,
87,List five physical properties that can be used to identify minerals.,"Hardness, luster, streak, color, and cleavage",ES.ES 87,,,,,,,,,,,,,,,,,,,,,,
88,What is magnetite,This is a rock containing molecules that always orient themselves toward magnetic north.,ES.ES 88,,,,,,,,,,,,,,,,,,,,,,
89,Paper is a RENEWABLE OR NON-RENEWABLE resource?,Renewable,ES.ES 89,,,,,,,,,,,,,,,,,,,,,,
90,What is the current theory that describes how Earth's crust is broken into plates that float on the earth's mantle layer?,Plate Tectonics Theory,ES.ES 90,,,,,,,,,,,,,,,,,,,,,,
91,What word describes the reason why the alternating stripes in the ocean floor point in opposite directions?,,ES.ES 91,,,,,,,,,,,,,,,,,,,,,,
92,Salt is a RENEWABLE OR NON-RENEWABLE resource?,Nonrenewable,ES.ES 92,,,,,,,,,,,,,,,,,,,,,,
93,This type of rock is formed when wind and water break down other rock types.,sedimentary,ES.ES 93,,,,,,,,,,,,,,,,,,,,,,
94,"Examples of this rock are sandstone, shale, and limestone.",sedimentary,ES.ES 94,,,,,,,,,,,,,,,,,,,,,,
95,Soil is a RENEWABLE OR NON-RENEWABLE resource?,Renewable,ES.ES 95,,,,,,,,,,,,,,,,,,,,,,
96,True/False: Materials found in nature that are useful to humans are NATURAL RESOURCES.,TRUE,ES.ES 96,,,,,,,,,,,,,,,,,,,,,,
97,True/False: MINERALS are extracted from the ground and refined into valuable metals.,False: ORES are extracted and made into metals.,ES.ES 97,,,,,,,,,,,,,,,,,,,,,,
98,"True/False: When a student uses an insulated bottle for his drink every day, he is REDUCING.",False/ He is REUSING.,ES.ES 98,,,,,,,,,,,,,,,,,,,,,,
99,What are three fossil fuels?,"natural gas, petroleum, coal",ES.ES 99,,,,,,,,,,,,,,,,,,,,,,
100,What kind of energy is produced from heat trapped within the earth?,Geothermal energy,ES.ES 100,,,,,,,,,,,,,,,,,,,,,,
101,What process do some places in the world use to obtain freshwater  from the ocean?,Desalination,ES.ES 101,,,,,,,,,,,,,,,,,,,,,,
102,Which object is a nonliving thing that is made by humans? A a fish B a rock C a green plant D a metal container,D,ES.GS 102,,,,,,,,,,,,,,,,,,,,,,
103,"In order to grow and thrive, all animals need water, air, and A food B sunlight C soil D offspring",A,ES.GS 103,,,,,,,,,,,,,,,,,,,,,,
104,a combination of two or more substances that do not lose their identifying characteristics when combined,mixture,ES.GS 104,,,,,,,,,,,,,,,,,,,,,,
105,The fur of an arctic fox turns from brown to white as winter approaches. This is an example of A camouflage B hibernation C migration D movement,A,ES.GS 105,,,,,,,,,,,,,,,,,,,,,,
106,negatively charged subatomic particle that orbits the nucleus of an atom.,electron,ES.GS 106,,,,,,,,,,,,,,,,,,,,,,
107,Some animals can identify a mate by its bright colors. Which body structure is needed to sense color? A tongue B skin C eye D ear,C,ES.GS 107,,,,,,,,,,,,,,,,,,,,,,
108,substance made of two or more types of atoms with its own unique physical and chemical properties.,compound,ES.GS 108,,,,,,,,,,,,,,,,,,,,,,
109,special type of mixture in which one substance dissolves in another,solution,ES.GS 109,,,,,,,,,,,,,,,,,,,,,,
110,Which example shows an animal adapting to a seasonal change in its environment? A a fox hunting rabbits B a goose migrating south C a dog chasing cats D a bat fl ying at nigh,B,ES.GS 110,,,,,,,,,,,,,,,,,,,,,,
111,"smallest part of a compound, made of two or more atoms of different elements",molecule,ES.GS 111,,,,,,,,,,,,,,,,,,,,,,
112,What happens to some animals as the seasons change from winter to summer in New York State? A Their fur becomes thicker. B Their fur color changes to white. C They shed more fur. D They begin to hibernate.,C,ES.GS 112,,,,,,,,,,,,,,,,,,,,,,
113,phase of matter with a definite shape and volume,solid,ES.GS 113,,,,,,,,,,,,,,,,,,,,,,
114,"If the number of frogs decreases, which population will most likely increase? A eagles B snakes C crickets D green plants",C,ES.GS 114,,,,,,,,,,,,,,,,,,,,,,
115,smallest part of an element,Atom,ES.GS 115,,,,,,,,,,,,,,,,,,,,,,
116,In which order is energy transferred through a food chain? A Sun → plants → animals B Sun → animals → plants C plants → Sun → animals D plants → animals → Sun,A,ES.GS 116,,,,,,,,,,,,,,,,,,,,,,
117,phase of matter with definite volume but no definite shape. It will take on the shape of its container.,Liquid,ES.GS 117,,,,,,,,,,,,,,,,,,,,,,
118,What are abiotic factors?,"nonliving things in an ecosystem such as soil, temperature, rainfall, and sunlight",ES.GS 118,,,,,,,,,,,,,,,,,,,,,,
119,"Which list includes three weather conditions? A windy, cloudy, and winter B cold, morning, and rainy C cloudy, cold, and windy D rainy, summer, and evening",C,ES.GS 119,,,,,,,,,,,,,,,,,,,,,,
120,What is the name given to an animal or plant species that has none of its kind left?,extinct,ES.GS 120,,,,,,,,,,,,,,,,,,,,,,
121,Which animal behavior is demonstrated by the bird chirping? A taking in nutrients B eliminating waste C reproducing D communicating,D,ES.GS 121,,,,,,,,,,,,,,,,,,,,,,
122,Forest fi res can have both negative and positive effects. One possible positive effect of a forest fi re is A more space for new plants B more competition for food C higher air temperature D pollution from smoke,A,ES.GS 122,,,,,,,,,,,,,,,,,,,,,,
123,What is the name given to the adaptation of looking or acting like a different organism,mimicry,ES.GS 123,,,,,,,,,,,,,,,,,,,,,,
124,Which object will refl ect the most light? A black shirt B pink fl ower C shiny can D dull rock,C,ES.GS 124,,,,,,,,,,,,,,,,,,,,,,
125,How long does it take for Earth to revolve around the Sun one time? A a day B a week C a month D a year,D,ES.GS 125,,,,,,,,,,,,,,,,,,,,,,
126,Which force produces heat as the tires of a school bus rub against the road? A electricity B friction C gravity D magnetism,B,ES.GS 126,,,,,,,,,,,,,,,,,,,,,,
127,What is the name given to special features or behaviors that help living things survive in their environment?,adaptations,ES.GS 127,,,,,,,,,,,,,,,,,,,,,,
128,An example of a learned behavior is A driving a car B having blue eyes C shivering in the cold D breathing air,A,ES.GS 128,,,,,,,,,,,,,,,,,,,,,,
129,What is the process of transporting cells to another flower for reproduction,pollination,ES.GS 129,,,,,,,,,,,,,,,,,,,,,,
130,What is a decomposer? A a living thing that breaks down dead organisms B a living thing that makes its own food C an animal that eats live plants D an animal that hunts other animals,A,ES.GS 130,,,,,,,,,,,,,,,,,,,,,,
131,What is the name given to an animal or plant species that has very few of its kind left?,endangered,ES.GS 131,,,,,,,,,,,,,,,,,,,,,,
132,Which was once a planet  but is now renamed a dwarf planet? A.Earth B.Sun C.Pluto D.Moon,C,ES.GS 132,,,,,,,,,,,,,,,,,,,,,,
133,Some birds build nests in the spring. This nest building is a seasonal adaptation that occurs to help the birds A fly south B find food C protect their young D survive the winter,C,ES.GS 133,,,,,,,,,,,,,,,,,,,,,,
134,Which unit of measurement should be used to describe the mass of an apple? A gram B liter C minute D meter ,A,ES.GS 134,,,,,,,,,,,,,,,,,,,,,,
135,"On a field trip, a student holds a frog and reports that it has slippery skin. This is an example of A a measurement B a prediction C an explanation D an observation",D,ES.GS 135,,,,,,,,,,,,,,,,,,,,,,
136,Which process caused the water droplets to form on the outside of the glass? A condensation B evaporation C precipitation D runoff,A,ES.GS 136,,,,,,,,,,,,,,,,,,,,,,
137,Which process occurs when rocks and soil slide down a mountain? A erosion B migration C recycling D maintenance,A,ES.GS 137,,,,,,,,,,,,,,,,,,,,,,
138,"What is the only common substance on Earth that exists naturally in the solid, liquid and gaseous states? ",ANSWER: WATER,ES.GS 138,,,,,,,,,,,,,,,,,,,,,,
139,Silicon dioxide is made of what two elements?, ANSWER: SILICON AND OXYGEN,ES.GS 139,,,,,,,,,,,,,,,,,,,,,,
140,What energy source is the primary driver of the Earth’s water cycle? ,ANSWER: SUN (ACCEPT: SOLAR),ES.GS 140,,,,,,,,,,,,,,,,,,,,,,
141,"In a 24 hour period, when does the coldest temperature of the day typically occur: W) at midnight X) just after sunrise Y) just after sunset Z) between 3 and 4 AM ",ANSWER: X) JUST AFTER SUNRISE,ES.GS 141,,,,,,,,,,,,,,,,,,,,,,
142,What is the common term for the force of gravity that is exerted on an object? ,ANSWER: WEIGHT,ES.GS 142,,,,,,,,,,,,,,,,,,,,,,
143,The movement of soil by wind or water is called,Erosion,ES.GS 143,,,,,,,,,,,,,,,,,,,,,,
144,Which tool should a student use to compare the masses of two small rocks? A balance B hand lens C ruler D measuring cup,A,ES.GS 144,,,,,,,,,,,,,,,,,,,,,,
145,Which one of its senses helps a fox find food?,Sense of smell,ES.GS 145,,,,,,,,,,,,,,,,,,,,,,
146,Rhe main function of a duck’s webbed feet is to help the duck______?,Swim in water,ES.GS 146,,,,,,,,,,,,,,,,,,,,,,
147,One way animals usually respond to a sudden drop in temperature is by A sweating B shivering C blinking D salivating,B,ES.GS 147,,,,,,,,,,,,,,,,,,,,,,
148,Which organism is a producer? A grasshopper B raccoon C grass D frog,C,ES.GS 148,,,,,,,,,,,,,,,,,,,,,,
149,"A toy truck rolls over a smooth surface. If the surface is covered with sand, the truck will most likely roll A slower B faster C at the same speed",A,ES.GS 149,,,,,,,,,,,,,,,,,,,,,,
150,The Sun is classified as A an organism B a decomposer C a star D a planet,C,ES.GS 150,,,,,,,,,,,,,,,,,,,,,,
151,Which property of the marbles causes the water level to rise when they are put in the graduated cylinder?,D,ES.GS 151,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
